Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,winged; mystery; contending,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,"""i; prepare; power",Descendants: The Royal Wedding
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,learn; kingdom; kristoff,Frozen II
"Horror, Action",en,2021-08-13,7.5,flooded; made; gets,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,brought; getting; children,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,future; robots; colony's,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,just; ron; magical,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,stark; test; mightiest,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,race; end; threat,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,away; malevolent; club,It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,be?; no; demons,The Lion King
"Drama, History",en,2021-11-18,8.0,coach; venus; players,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,design; idol; 1960s,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,calling; catwoman; batman,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,knowing; ravaged; vampire,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,michael; vengeance; protect,Wild Indian
Comedy,en,2012-03-01,6.8,control; three; party,Project X
Action,en,2021-08-19,6.6,ever; whose; everything,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,ida; robbery; may,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,chilling; closet; helena’s,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,survival; world's; security,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,freewheeling; rival; sparrow,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,once; face; universe,"The Simpsons: The Good, the Bart, and the Loki"
"Action, Thriller, Crime",en,2021-01-15,7.0,us/mexico; leaves; shootout,The Marksman
"Adventure, Family, Drama",fr,2021-12-15,7.3,move; puppy; reality,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,demon; just; easily,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,weigh; clutches; escape,7 Prisoners
Documentary,es,2022-02-23,6.5,insiders; ignited; 11,11M
"Science Fiction, Action",ko,2021-04-12,7.6,seek; trouble; seobok,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,shrek; married; king,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,entire; poseidon; gods,Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,high; each; places,Your Name.
Comedy,en,2021-12-17,5.9,chief; company; anything,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,causes; designed; amongst,Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,becoming; stand-up; crime,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,extraordinary; interrogation; keep,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,teenage; parents; real-life,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,corridors; soldier; make,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,tested; place; ailing,Mulan
"Comedy, Romance",en,2022-02-10,6.1,hatch; already; life’s,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,sparrow; captain; ghostly,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,very; society; breaks,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,based; jordan; corporate,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,—; wakes; troll,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,tomoe; change; huge,Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,unexpected; kerala; lightning,Minnal Murali
