timestamp,id,evento,usuarie,estado,texto_ingresado,respuesta,nivel
1655491366.630441,28,intento,UWU,error,Pago (Papua New Guinea),Tungurahua (Ecuador),Facil
1655491367.232078,28,intento,UWU,error,Kilauea (United States),Vesuvius (Italy),Facil
1655491367.935812,28,intento,UWU,error,Kuchinoerabu-Jima (Japan),Mayon (Philippines),Facil
1655491369.013187,28,intento,UWU,error,Santorini (Greece),White Island (New Zealand),Facil
1655491369.629313,28,intento,UWU,error,Kirishima (Japan),Kilauea (United States),Facil
1655491369.629313,28,fin,UWU,finalizado,-,-,Facil
1655491479.699913,29,inicio_partida,UWU,nueva,-,-,Facil
1655491480.699787,29,intento,UWU,error,Lago Ghío,Lago Rosario,Facil
1655491481.318981,29,intento,UWU,error,Lago Pellegrini,Lago Burmeister,Facil
1655491481.909044,29,intento,UWU,ok,Lago Gutiérrez,Lago Gutiérrez,Facil
1655491482.517569,29,intento,UWU,error,Lago Nahuel Huapi,Lago Asador O Guitarra,Facil
1655491483.124507,29,intento,UWU,ok,Lago Aluminé,Lago Aluminé,Facil
1655491483.124507,29,fin,UWU,finalizado,-,-,Facil
1655491531.474805,30,inicio_partida,UWU,nueva,-,-,Facil
1655491532.973422,30,intento,UWU,error,Lago Viedma,Lago Moquehue,Facil
1655491533.493232,30,intento,UWU,error,Lago Viedma,Lago Nansen,Facil
1655491534.005832,30,intento,UWU,ok,Lago Aluminé,Lago Aluminé,Facil
1655491534.509321,30,intento,UWU,error,Lago Rivadavia,Lago Asador O Guitarra,Facil
1655491535.119321,30,intento,UWU,error,Lago Currhué,Lago Lolog,Facil
1655491535.119321,30,fin,UWU,finalizado,-,-,Facil
1655491651.423893,31,inicio_partida,algo,nueva,-,-,Facil
1655491656.549491,31,intento,algo,error,Lago Gutiérrez,Lago Cholila,Facil
1655491657.077772,31,intento,algo,error,Lago Lolog,Lago Cardiel,Facil
1655491657.620997,31,intento,algo,error,Lago Nahuel Huapi,Lago Nansen,Facil
1655491658.517515,31,intento,algo,error,Lago Perito Moreno,Lago Fagnano,Facil
1655491659.149267,31,intento,algo,error,Lago Rivadavia,Lago Menéndez,Facil
1655491659.149267,31,fin,algo,finalizado,-,-,Facil
1655492049.646943,32,inicio_partida,algo,nueva,-,-,Facil
1655492050.348947,32,intento,algo,error,We Need To Talk About Kevin,The Joy Luck Club,Facil
1655492051.117393,32,intento,algo,ok,Save The Last Dance,Save The Last Dance,Facil
1655492051.708812,32,intento,algo,error,Texas Killing Fields,Memento,Facil
1655492052.30888,32,intento,algo,error,Leprechaun: Origins,Ms .45,Facil
1655492053.405614,32,intento,algo,error,Paradox,The 9Th Life Of Louis Drax,Facil
1655492053.405614,32,fin,algo,finalizado,-,-,Facil
