Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Drama",en,2021-12-03,6.4,directions; sons; decorated,Encounter
"Horror, Thriller",en,2021-08-06,6.0,protect; past; boy,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,botched; places; force,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,quickly; between; graduation,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,incidents; house; secrets,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,puts; powerful; crosshairs,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,american; wwii; doss,Hacksaw Ridge
Action,zh,2021-05-06,7.3,choice; under; prominent,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,lived; headmaster; parents',Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,effort; peacekeeping; disaster,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,monster; looking; wales,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,affects; country; decide,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,under; lease; destroyed,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,killer; unstoppable; vigilante,Halloween Kills
Horror,en,2022-02-10,5.6,opportunity; however; working,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,summer; cause; agree,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,beloved; inviting; makingof,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,forever; herself; could,After We Collided
Thriller,en,2022-02-17,5.8,shooter; place; races,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,reviving; aim; named,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,seal; killed; seal,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,role; opens; already,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,border; teenager; witches,Witch Hunt
