Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Comedy,en,2022-02-25,6.7,celebration; any; college,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,tim; little; boss,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,red; mei; awkwardness,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,motive; every; she'll,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,house; developer; tied,The House
"Action, Thriller",en,2022-02-10,5.1,whose; exposed; agent,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,doesn't; best; buddy,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,city; offline; video,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,embrace; revelations; london,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,enemyinfused; task; peacemaker,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,service; list…; disney,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,nazis; hunt; decision,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,riviera; below; deeplyheld,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,heritage; tsung's; seeks,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,determined; catastrophic; ensure,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,no; georgia; face,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,amorous; unsuccessful; lose,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,conflict; ensure; people,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,quite; set; long,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,private; wealthy; strange,The Privilege
Horror,en,2021-06-11,6.4,could; performing; queen,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,consequences; teacher; local,Antlers
"Action, Thriller",en,2021-11-05,6.4,vengeance; under; brother’s,Dangerous
"Romance, Drama",en,2021-09-01,7.2,thought; rely; decision,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,technology; expected; dangerous,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,city; chief; conspiracy,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,postapocalyptic; built; friendship,Finch
"Thriller, Horror",es,2021-07-23,5.4,people; naked; attached,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,humdinger; pups; turning,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,protect; unimaginable; continued,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,madman; control; batman,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,broken; ledger; dangerous,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,season; stories; magical,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,ever; crew; battle,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,know; its; force,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,andrea; dead; memories,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,rich; ambitious; active,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,feelings; escapes; building,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,wrong; globetrotting; eager,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,mayhem; auntie; monstrous,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,wrath; deathstroke; murderous,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,jacques; charles; squire,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,gold; search; puzzling,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,amish; may; comes,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,decadence; marries; ultimately…murder,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,husband; strikes; magic,Dark Spell
